Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","c_0402",-4.400000,1.460000,270.000000,top
"C2","0.1uF","c_0402",-6.300000,-3.760000,180.000000,top
"C3","0.1uF","c_0402",-8.700000,-3.760000,180.000000,top
"C4","0.1uF","c_0402",-13.000000,-1.780000,90.000000,top
"C5","0.1uF","c_0402",-11.000000,4.790000,0.000000,top
"C6","4.7uF","c_0603",-4.250000,4.100000,270.000000,top
"C7","4.7uF","c_0603",-1.825000,0.075000,90.000000,top
"D1","LED","LED0603",-17.250000,-1.660000,270.000000,top
"R1","470","r_0402",-15.750000,-1.860000,270.000000,top
"U1","GD32F103TB","QFN36",-8.700000,0.490000,180.000000,top
"U2","MCP1700-3302E","SOT-23",-1.925000,3.750000,0.000000,top
"U3","NUF2221W1","SOT363",-14.000000,2.240000,0.000000,top
"U4","DRV5032FA","X2SON",-17.250000,1.000000,0.000000,top
"X1","12MHz","FA-20H",-2.625000,-3.175000,0.000000,top
